Percentage served,Time in ms
0,65.962
1,67.204
2,68.239
3,69.366
4,70.263
5,71.275
6,72.405
7,73.006
8,74.128
9,75.304
10,75.615
11,75.821
12,75.914
13,75.983
14,76.031
15,76.101
16,76.172
17,76.226
18,76.298
19,76.365
20,76.425
21,76.456
22,76.588
23,76.754
24,76.982
25,77.455
26,77.901
27,78.003
28,78.101
29,78.211
30,78.329
31,78.516
32,78.672
33,78.839
34,78.941
35,79.027
36,79.220
37,79.399
38,79.830
39,81.017
40,81.222
41,81.318
42,81.508
43,81.786
44,82.052
45,82.324
46,82.428
47,82.531
48,82.593
49,82.698
50,82.801
51,82.900
52,82.956
53,83.071
54,83.143
55,83.198
56,83.280
57,83.405
58,83.554
59,83.659
60,83.811
61,83.916
62,83.991
63,84.080
64,84.210
65,84.343
66,84.505
67,84.629
68,84.802
69,84.921
70,85.604
71,87.218
72,87.464
73,87.725
74,91.610
75,92.342
76,92.596
77,92.709
78,92.846
79,93.059
80,93.944
81,94.990
82,95.261
83,95.475
84,95.816
85,98.424
86,103.164
87,107.981
88,111.141
89,111.699
90,112.451
91,112.868
92,113.077
93,113.339
94,114.037
95,115.246
96,116.335
97,117.157
98,118.034
99,118.999
