starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:21:48 2013	1368660108	1	65	66	65
Wed May 15 23:21:48 2013	1368660108	1	65	66	65
Wed May 15 23:21:48 2013	1368660108	1	65	66	65
Wed May 15 23:21:48 2013	1368660108	1	65	66	65
Wed May 15 23:21:48 2013	1368660108	1	65	66	65
Wed May 15 23:21:48 2013	1368660108	1	65	67	65
Wed May 15 23:21:48 2013	1368660108	1	66	67	65
Wed May 15 23:21:48 2013	1368660108	1	66	67	66
Wed May 15 23:21:48 2013	1368660108	1	66	67	66
Wed May 15 23:21:48 2013	1368660108	1	66	67	66
Wed May 15 23:21:48 2013	1368660108	1	66	67	66
Wed May 15 23:21:48 2013	1368660108	1	66	67	66
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:47 2013	1368660107	6	62	68	61
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:47 2013	1368660107	5	63	68	62
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	67	68	67
Wed May 15 23:21:48 2013	1368660108	1	68	69	67
Wed May 15 23:21:48 2013	1368660108	1	67	69	67
Wed May 15 23:21:47 2013	1368660107	5	63	69	63
Wed May 15 23:21:48 2013	1368660108	1	68	69	68
Wed May 15 23:21:48 2013	1368660108	1	68	69	68
Wed May 15 23:21:47 2013	1368660107	5	64	69	63
Wed May 15 23:21:48 2013	1368660108	1	68	69	68
Wed May 15 23:21:48 2013	1368660108	1	68	69	68
Wed May 15 23:21:47 2013	1368660107	5	64	69	64
Wed May 15 23:21:48 2013	1368660108	1	68	69	68
Wed May 15 23:21:48 2013	1368660108	1	68	70	68
Wed May 15 23:21:48 2013	1368660108	1	69	70	68
Wed May 15 23:21:48 2013	1368660108	1	69	70	68
Wed May 15 23:21:48 2013	1368660108	1	69	70	69
Wed May 15 23:21:48 2013	1368660108	1	69	70	68
Wed May 15 23:21:48 2013	1368660108	1	69	70	69
Wed May 15 23:21:47 2013	1368660107	5	65	70	65
Wed May 15 23:21:48 2013	1368660108	1	69	70	69
Wed May 15 23:21:48 2013	1368660108	1	69	70	69
Wed May 15 23:21:48 2013	1368660108	1	70	71	69
Wed May 15 23:21:47 2013	1368660107	5	66	71	65
Wed May 15 23:21:48 2013	1368660108	1	69	71	69
Wed May 15 23:21:48 2013	1368660108	1	69	71	69
Wed May 15 23:21:48 2013	1368660108	1	70	71	70
Wed May 15 23:21:48 2013	1368660108	1	70	71	70
Wed May 15 23:21:48 2013	1368660108	1	70	71	70
Wed May 15 23:21:47 2013	1368660107	5	66	71	66
Wed May 15 23:21:48 2013	1368660108	1	70	71	70
Wed May 15 23:21:48 2013	1368660108	1	70	71	70
Wed May 15 23:21:48 2013	1368660108	1	70	72	70
Wed May 15 23:21:47 2013	1368660107	5	66	72	66
Wed May 15 23:21:48 2013	1368660108	1	71	72	70
Wed May 15 23:21:48 2013	1368660108	1	71	72	70
Wed May 15 23:21:48 2013	1368660108	1	71	72	70
Wed May 15 23:21:48 2013	1368660108	1	71	72	70
Wed May 15 23:21:48 2013	1368660108	1	71	72	70
Wed May 15 23:21:48 2013	1368660108	1	71	72	71
Wed May 15 23:21:48 2013	1368660108	1	71	72	71
Wed May 15 23:21:48 2013	1368660108	1	71	72	71
Wed May 15 23:21:48 2013	1368660108	1	71	72	71
Wed May 15 23:21:48 2013	1368660108	1	71	73	71
Wed May 15 23:21:47 2013	1368660107	6	67	73	67
Wed May 15 23:21:48 2013	1368660108	1	72	73	71
Wed May 15 23:21:48 2013	1368660108	1	72	73	72
Wed May 15 23:21:47 2013	1368660107	5	67	73	67
Wed May 15 23:21:48 2013	1368660108	1	71	73	71
Wed May 15 23:21:48 2013	1368660108	1	72	73	72
Wed May 15 23:21:47 2013	1368660107	5	68	73	68
Wed May 15 23:21:48 2013	1368660108	1	72	73	72
Wed May 15 23:21:48 2013	1368660108	1	72	73	72
Wed May 15 23:21:48 2013	1368660108	1	72	73	72
