Percentage served,Time in ms
0,37.978
1,41.284
2,72.005
3,73.994
4,80.105
5,81.130
6,81.926
7,82.379
8,83.396
9,84.531
10,85.245
11,85.873
12,87.109
13,89.045
14,89.777
15,90.512
16,91.271
17,94.182
18,95.911
19,96.798
20,97.839
21,100.482
22,104.883
23,109.690
24,110.411
25,110.799
26,111.330
27,112.389
28,113.907
29,115.701
30,117.190
31,118.322
32,119.018
33,120.067
34,120.900
35,121.392
36,121.888
37,122.698
38,123.069
39,123.405
40,123.792
41,125.120
42,126.338
43,127.985
44,129.283
45,130.929
46,131.791
47,132.376
48,133.431
49,133.979
50,134.477
51,134.959
52,135.139
53,135.325
54,135.511
55,135.716
56,135.868
57,135.978
58,136.163
59,136.281
60,136.467
61,136.671
62,136.925
63,137.036
64,137.326
65,137.734
66,138.059
67,138.505
68,138.874
69,139.688
70,140.258
71,141.506
72,141.753
73,142.251
74,142.835
75,143.371
76,144.430
77,145.366
78,148.252
79,153.872
80,164.626
81,165.558
82,167.954
83,176.664
84,177.732
85,178.450
86,179.354
87,181.458
88,184.605
89,191.043
90,193.698
91,196.291
92,198.336
93,200.771
94,201.258
95,201.933
96,203.740
97,204.332
98,205.296
99,206.342
