Percentage served,Time in ms
0,36.73
1,108.845
2,122.006
3,125.909
4,134.929
5,157.947
6,193.765
7,194.89
8,196.698
9,199.07
10,200.456
11,201.783
12,202.439
13,205.82
14,217.658
15,227.904
16,234.26
17,235.924
18,237.658
19,238.565
20,239.71
21,241.382
22,249.544
23,255.821
24,256.781
25,257.591
26,262.673
27,268.747
28,273.046
29,274.009
30,274.187
31,274.504
32,274.915
33,275.557
34,282.336
35,284.766
36,286.224
37,286.8
38,288.234
39,288.795
40,290.134
41,292.112
42,293.659
43,296.495
44,298.224
45,299.128
46,299.853
47,300.278
48,300.991
49,302.663
50,304.153
51,308.643
52,312.747
53,314.494
54,315.51
55,329.685
56,336.499
57,341.28
58,343.817
59,345.051
60,350.637
61,351.491
62,352.086
63,352.779
64,353.242
65,353.518
66,355.213
67,356.016
68,356.909
69,358.231
70,359.683
71,363.421
72,365.879
73,366.819
74,367.206
75,367.565
76,367.987
77,369.725
78,370.281
79,372.973
80,374.323
81,376.624
82,386.764
83,396.316
84,409.119
85,409.36
86,411.088
87,411.653
88,442.809
89,447.941
90,451.584
91,454.639
92,458.9
93,462.197
94,466.363
95,469.505
96,473.442
97,489.506
98,492.8
99,521.224
