starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:18:34 2013	1368659914	24	13	37	12
Wed May 15 23:18:34 2013	1368659914	24	12	37	12
Wed May 15 23:18:34 2013	1368659914	25	12	37	12
Wed May 15 23:18:34 2013	1368659914	24	13	37	12
Wed May 15 23:18:32 2013	1368659912	86	11	97	11
Wed May 15 23:18:34 2013	1368659914	86	12	98	12
Wed May 15 23:18:34 2013	1368659914	89	12	101	12
Wed May 15 23:18:32 2013	1368659912	89	19	107	18
Wed May 15 23:18:32 2013	1368659912	89	19	107	18
Wed May 15 23:18:32 2013	1368659912	89	20	108	19
Wed May 15 23:18:32 2013	1368659912	89	20	109	20
Wed May 15 23:18:32 2013	1368659912	88	21	109	21
Wed May 15 23:18:32 2013	1368659912	86	25	111	25
Wed May 15 23:18:32 2013	1368659912	88	23	111	23
Wed May 15 23:18:32 2013	1368659912	88	23	111	22
Wed May 15 23:18:32 2013	1368659912	88	23	111	22
Wed May 15 23:18:32 2013	1368659912	88	24	112	24
Wed May 15 23:18:32 2013	1368659912	88	24	112	24
Wed May 15 23:18:32 2013	1368659912	86	28	113	25
Wed May 15 23:18:32 2013	1368659912	88	28	116	28
Wed May 15 23:18:35 2013	1368659915	1	121	122	121
Wed May 15 23:18:35 2013	1368659915	1	122	123	122
Wed May 15 23:18:35 2013	1368659915	1	123	124	122
Wed May 15 23:18:35 2013	1368659915	1	124	125	123
Wed May 15 23:18:35 2013	1368659915	1	123	125	123
Wed May 15 23:18:35 2013	1368659915	1	124	125	124
Wed May 15 23:18:35 2013	1368659915	1	124	125	124
Wed May 15 23:18:35 2013	1368659915	2	124	126	123
Wed May 15 23:18:35 2013	1368659915	1	124	126	124
Wed May 15 23:18:35 2013	1368659915	1	125	126	124
Wed May 15 23:18:35 2013	1368659915	1	125	126	124
Wed May 15 23:18:35 2013	1368659915	1	126	127	125
Wed May 15 23:18:35 2013	1368659915	1	126	127	125
Wed May 15 23:18:35 2013	1368659915	1	126	127	126
Wed May 15 23:18:35 2013	1368659915	1	127	128	127
Wed May 15 23:18:35 2013	1368659915	1	127	128	127
Wed May 15 23:18:35 2013	1368659915	1	128	129	127
Wed May 15 23:18:35 2013	1368659915	1	128	129	128
Wed May 15 23:18:33 2013	1368659913	1	134	135	134
Wed May 15 23:18:33 2013	1368659913	1	134	135	133
Wed May 15 23:18:33 2013	1368659913	1	134	135	133
Wed May 15 23:18:31 2013	1368659911	23	128	151	126
Wed May 15 23:18:31 2013	1368659911	23	129	152	128
Wed May 15 23:18:31 2013	1368659911	23	129	153	129
Wed May 15 23:18:31 2013	1368659911	23	130	153	129
Wed May 15 23:18:31 2013	1368659911	23	130	154	130
Wed May 15 23:18:31 2013	1368659911	23	131	155	130
Wed May 15 23:18:31 2013	1368659911	23	132	155	131
Wed May 15 23:18:31 2013	1368659911	23	133	156	132
Wed May 15 23:18:31 2013	1368659911	23	135	158	133
Wed May 15 23:18:31 2013	1368659911	23	135	158	135
Wed May 15 23:18:31 2013	1368659911	23	136	158	135
Wed May 15 23:18:31 2013	1368659911	23	136	159	136
Wed May 15 23:18:31 2013	1368659911	23	137	160	137
Wed May 15 23:18:31 2013	1368659911	23	138	160	137
Wed May 15 23:18:33 2013	1368659913	27	163	191	162
Wed May 15 23:18:33 2013	1368659913	28	164	192	162
Wed May 15 23:18:33 2013	1368659913	27	166	194	161
Wed May 15 23:18:33 2013	1368659913	31	163	194	163
Wed May 15 23:18:33 2013	1368659913	31	163	194	162
Wed May 15 23:18:33 2013	1368659913	31	163	194	162
Wed May 15 23:18:33 2013	1368659913	31	163	194	163
Wed May 15 23:18:33 2013	1368659913	31	163	194	162
Wed May 15 23:18:33 2013	1368659913	30	164	194	162
Wed May 15 23:18:33 2013	1368659913	31	163	194	163
Wed May 15 23:18:33 2013	1368659913	31	163	194	162
Wed May 15 23:18:33 2013	1368659913	31	163	194	162
Wed May 15 23:18:33 2013	1368659913	31	164	194	162
Wed May 15 23:18:33 2013	1368659913	27	167	194	167
Wed May 15 23:18:33 2013	1368659913	31	163	195	162
Wed May 15 23:18:34 2013	1368659914	25	170	195	170
Wed May 15 23:18:33 2013	1368659913	28	168	195	167
Wed May 15 23:18:34 2013	1368659914	26	170	195	169
Wed May 15 23:18:33 2013	1368659913	27	169	195	168
Wed May 15 23:18:34 2013	1368659914	27	169	196	169
Wed May 15 23:18:33 2013	1368659913	27	168	196	168
Wed May 15 23:18:34 2013	1368659914	27	169	196	169
Wed May 15 23:18:34 2013	1368659914	27	169	196	168
Wed May 15 23:18:33 2013	1368659913	25	172	196	171
Wed May 15 23:18:33 2013	1368659913	27	169	196	169
Wed May 15 23:18:33 2013	1368659913	26	171	197	170
Wed May 15 23:18:33 2013	1368659913	27	170	197	170
Wed May 15 23:18:34 2013	1368659914	26	171	198	171
Wed May 15 23:18:34 2013	1368659914	25	173	198	173
Wed May 15 23:18:34 2013	1368659914	27	171	198	170
Wed May 15 23:18:33 2013	1368659913	27	171	198	171
Wed May 15 23:18:34 2013	1368659914	24	174	198	174
Wed May 15 23:18:34 2013	1368659914	26	172	198	172
Wed May 15 23:18:33 2013	1368659913	25	173	199	173
Wed May 15 23:18:34 2013	1368659914	25	174	199	174
Wed May 15 23:18:33 2013	1368659913	27	172	199	172
Wed May 15 23:18:34 2013	1368659914	24	175	199	175
Wed May 15 23:18:33 2013	1368659913	24	175	199	175
Wed May 15 23:18:33 2013	1368659913	26	174	200	173
Wed May 15 23:18:34 2013	1368659914	25	175	200	175
Wed May 15 23:18:34 2013	1368659914	26	173	200	173
Wed May 15 23:18:34 2013	1368659914	24	176	200	176
Wed May 15 23:18:34 2013	1368659914	24	176	200	175
Wed May 15 23:18:33 2013	1368659913	25	175	200	175
Wed May 15 23:18:33 2013	1368659913	24	176	200	176
Wed May 15 23:18:34 2013	1368659914	1	199	200	199
Wed May 15 23:18:34 2013	1368659914	23	178	201	178
Wed May 15 23:18:33 2013	1368659913	25	177	201	176
Wed May 15 23:18:33 2013	1368659913	23	178	201	177
