starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:32:05 2013	1368660725	1	39	40	39
Wed May 15 23:32:05 2013	1368660725	1	39	40	39
Wed May 15 23:32:05 2013	1368660725	1	39	40	39
Wed May 15 23:32:05 2013	1368660725	1	39	40	39
Wed May 15 23:32:05 2013	1368660725	1	72	73	71
Wed May 15 23:32:05 2013	1368660725	1	71	73	71
Wed May 15 23:32:05 2013	1368660725	1	72	73	71
Wed May 15 23:32:05 2013	1368660725	1	72	73	71
Wed May 15 23:32:05 2013	1368660725	2	71	73	71
Wed May 15 23:32:05 2013	1368660725	1	72	73	71
Wed May 15 23:32:05 2013	1368660725	1	72	73	72
Wed May 15 23:32:05 2013	1368660725	1	72	73	72
Wed May 15 23:32:05 2013	1368660725	1	72	74	72
Wed May 15 23:32:05 2013	1368660725	1	73	74	72
Wed May 15 23:32:05 2013	1368660725	1	73	74	72
Wed May 15 23:32:05 2013	1368660725	2	72	74	72
Wed May 15 23:32:05 2013	1368660725	2	73	74	72
Wed May 15 23:32:05 2013	1368660725	1	73	74	73
Wed May 15 23:32:05 2013	1368660725	2	73	74	73
Wed May 15 23:32:05 2013	1368660725	2	73	74	73
Wed May 15 23:32:05 2013	1368660725	1	73	74	73
Wed May 15 23:32:05 2013	1368660725	2	73	75	73
Wed May 15 23:32:04 2013	1368660724	6	69	76	68
Wed May 15 23:32:04 2013	1368660724	7	70	77	70
Wed May 15 23:32:05 2013	1368660725	1	76	77	76
Wed May 15 23:32:05 2013	1368660725	2	76	77	76
Wed May 15 23:32:05 2013	1368660725	1	76	77	76
Wed May 15 23:32:05 2013	1368660725	2	76	78	76
Wed May 15 23:32:04 2013	1368660724	6	71	78	71
Wed May 15 23:32:05 2013	1368660725	1	76	78	76
Wed May 15 23:32:04 2013	1368660724	7	71	78	71
Wed May 15 23:32:05 2013	1368660725	1	77	78	77
Wed May 15 23:32:05 2013	1368660725	1	77	78	76
Wed May 15 23:32:05 2013	1368660725	2	76	78	76
Wed May 15 23:32:05 2013	1368660725	1	77	78	76
Wed May 15 23:32:05 2013	1368660725	1	77	78	76
Wed May 15 23:32:05 2013	1368660725	1	77	78	77
Wed May 15 23:32:05 2013	1368660725	2	77	78	76
Wed May 15 23:32:05 2013	1368660725	1	77	78	77
Wed May 15 23:32:05 2013	1368660725	1	77	78	76
Wed May 15 23:32:05 2013	1368660725	1	77	78	77
Wed May 15 23:32:04 2013	1368660724	7	72	78	71
Wed May 15 23:32:04 2013	1368660724	6	72	78	72
Wed May 15 23:32:05 2013	1368660725	1	77	78	77
Wed May 15 23:32:05 2013	1368660725	1	77	79	77
Wed May 15 23:32:05 2013	1368660725	1	77	79	77
