starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:59:27 2013	1368662367	1	47	48	47
Wed May 15 23:59:27 2013	1368662367	1	47	48	47
Wed May 15 23:59:27 2013	1368662367	1	48	49	47
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	49	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	49	48
Wed May 15 23:59:27 2013	1368662367	1	48	50	48
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	48
Wed May 15 23:59:27 2013	1368662367	1	49	50	48
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	50	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	49	50	49
Wed May 15 23:59:27 2013	1368662367	1	50	51	50
Wed May 15 23:59:27 2013	1368662367	1	50	51	49
Wed May 15 23:59:27 2013	1368662367	1	50	51	50
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	51
Wed May 15 23:59:27 2013	1368662367	1	52	53	51
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	53	52
Wed May 15 23:59:27 2013	1368662367	1	52	54	52
Wed May 15 23:59:27 2013	1368662367	1	53	54	52
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	54	53
Wed May 15 23:59:27 2013	1368662367	1	53	55	53
Wed May 15 23:59:27 2013	1368662367	1	54	55	53
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	55	55	55
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	54	55	54
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	54	56	54
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	56
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	56
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	56
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	56
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	55	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	55
Wed May 15 23:59:27 2013	1368662367	1	56	56	56
Wed May 15 23:59:27 2013	1368662367	1	55	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	55	57	55
Wed May 15 23:59:27 2013	1368662367	1	55	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	55	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	55	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
Wed May 15 23:59:27 2013	1368662367	1	56	57	56
Wed May 15 23:59:27 2013	1368662367	1	56	57	55
