Percentage served,Time in ms
0,32.417
1,33.164
2,34.468
3,35.950
4,36.276
5,36.428
6,36.557
7,36.771
8,36.920
9,37.219
10,37.476
11,38.012
12,38.396
13,38.619
14,38.712
15,38.779
16,38.966
17,39.118
18,39.346
19,39.503
20,39.715
21,39.948
22,41.812
23,42.419
24,43.206
25,43.688
26,43.909
27,44.286
28,44.534
29,44.683
30,44.917
31,45.042
32,45.306
33,45.460
34,45.623
35,45.714
36,45.826
37,46.161
38,46.492
39,46.889
40,47.790
41,47.939
42,48.157
43,48.279
44,48.340
45,48.471
46,48.663
47,48.827
48,48.942
49,49.068
50,49.216
51,49.304
52,49.400
53,49.456
54,49.545
55,49.591
56,49.638
57,49.699
58,49.762
59,49.812
60,49.912
61,50.016
62,50.068
63,50.114
64,50.185
65,50.242
66,50.320
67,50.352
68,50.480
69,50.544
70,50.599
71,50.691
72,50.740
73,50.859
74,50.931
75,51.035
76,51.138
77,51.280
78,51.475
79,51.678
80,51.873
81,51.957
82,53.111
83,55.087
84,56.723
85,59.817
86,65.897
87,67.123
88,68.686
89,69.662
90,71.477
91,72.172
92,72.402
93,72.721
94,72.914
95,80.557
96,81.014
97,81.417
98,81.840
99,82.497
