Percentage served,Time in ms
0,40.367
1,41.216
2,42.106
3,44.573
4,45.775
5,46.301
6,46.942
7,47.200
8,47.338
9,47.394
10,47.457
11,47.512
12,47.558
13,47.594
14,47.647
15,47.711
16,47.776
17,47.816
18,47.849
19,47.883
20,47.935
21,47.961
22,47.987
23,48.011
24,48.053
25,48.081
26,48.108
27,48.186
28,48.225
29,48.264
30,48.306
31,48.361
32,48.393
33,48.430
34,48.499
35,48.569
36,48.912
37,49.453
38,49.606
39,49.834
40,50.001
41,50.324
42,50.680
43,51.207
44,51.387
45,51.491
46,51.629
47,51.706
48,51.789
49,51.847
50,51.907
51,51.995
52,52.099
53,52.217
54,52.322
55,52.386
56,52.550
57,52.655
58,52.725
59,52.799
60,52.900
61,52.965
62,53.055
63,53.121
64,53.184
65,53.230
66,53.328
67,53.429
68,53.568
69,53.855
70,54.679
71,55.483
72,56.001
73,56.898
74,57.748
75,57.921
76,58.086
77,58.192
78,58.379
79,58.652
80,58.929
81,59.081
82,59.361
83,60.028
84,60.631
85,63.695
86,66.415
87,72.120
88,73.157
89,73.505
90,73.794
91,74.294
92,75.832
93,76.612
94,76.926
95,77.256
96,77.584
97,77.861
98,78.037
99,78.741
